sample,term,est,se,ci_l,ci_u,exp_est,exp_ci_l,exp_ci_u,label,pm_source,m,m_success,n_obs,n_calibration,n_imputed,within_var,between_var,total_var
epa,pm_di_mean,0.00161949454016558,0.000561896430911436,0.000518177535579164,0.00272081154475199,0.00162080662966013,0.000518311812750527,0.002724516311712,Di,pm_di_mean,50,50,105120,104344,776,3.1481762053388e-07,8.92135820715487e-10,3.1572759907101e-07
full,pm_di_mean,0.000736997979960789,0.000302814394004422,0.000143481767712121,0.00133051419220946,0.000737269629702997,0.000143492061713379,0.00133139971890905,Di,pm_di_mean,50,50,549900,130979,418921,7.89641691229417e-08,1.24827334248272e-08,9.16965572162654e-08
no_epa,pm_di_mean,1.49856833802911e-05,0.000354963145238784,-0.000680742081287726,0.000710713448048308,1.4985795666167e-05,-0.00068051042896522,0.000710966064693341,Di,pm_di_mean,50,50,385920,130979,385920,6.62570834433329e-08,5.85703441514485e-08,1.2599883447781e-07
epa,pm_dr_spcv_mean,0.00162747499086404,0.000561904581043776,0.000526142012018244,0.00272880796970984,0.00162880004702148,0.000526280449004712,0.00273253455511857,Dickinson,pm_dr_spcv_mean,50,50,105110,104334,776,3.15154582973768e-07,5.7076002373798e-10,3.15736758197981e-07
full,pm_dr_spcv_mean,0.000734697036658452,0.000306845928922703,0.000133279015969954,0.00133611505734695,0.000734966992634201,0.000133287898012702,0.00133700805674253,Dickinson,pm_dr_spcv_mean,50,50,549852,130965,418887,8.16964740211076e-08,1.22136765444403e-08,9.41544240964367e-08
no_epa,pm_dr_spcv_mean,-9.17288920039561e-06,0.000364427177499733,-0.000723450157099873,0.000705104378699082,-9.17284712953492e-06,-0.000723188530130092,0.000705353023228161,Dickinson,pm_dr_spcv_mean,50,50,385891,130965,385891,6.70102062623638e-08,6.45068249392728e-08,1.32807167700422e-07
epa,pm_wei_mean,0.00162173160572027,0.000562194469509854,0.000519830445480958,0.00272363276595958,0.00162304732357166,0.000519965580741744,0.00272734522337315,Wei,pm_wei_mean,50,50,105120,104344,776,3.15226260605015e-07,8.19961708285625e-10,3.16062621547466e-07
full,pm_wei_mean,0.00069892560115369,0.000321177669634923,6.94173686692415e-05,0.00132843383363814,0.000699169906565489,6.9419778110591e-05,0.00132931659271573,Wei,pm_wei_mean,50,50,549900,130979,418921,8.894541444157e-08,1.39310598338722e-08,1.0315509547212e-07
no_epa,pm_wei_mean,6.95795376951695e-06,0.000382094449894646,-0.000741947168023988,0.000755863075563022,6.95797797622966e-06,-0.000741671993283122,0.000756148812045554,Wei,pm_wei_mean,50,50,385920,130979,385920,7.41959546209512e-08,7.0392366685628e-08,1.45996168640292e-07
epa,pm_wustl_mean,0.00161603391385069,0.000557595781666118,0.000523146181785102,0.00270892164591629,0.00161734040033679,0.000523283046614642,0.00271259408953006,van Donkelaar NA,pm_wustl_mean,50,50,105120,104344,776,3.10266272210653e-07,6.3410149136852e-10,3.10913055731849e-07
full,pm_wustl_mean,0.000654277079495592,0.000295452172020415,7.51908223355779e-05,0.00123336333665561,0.000654491165432036,7.51936492362493e-05,0.00123412424200775,van Donkelaar NA,pm_wustl_mean,50,50,549900,130979,418921,7.57832486152068e-08,1.12830758199748e-08,8.72919859515811e-08
no_epa,pm_wustl_mean,-0.000150819085020555,0.000336695806261861,-0.000810742865293803,0.000509104695252692,-0.000150807712394063,-0.000810414302096385,0.000509234311043105,van Donkelaar NA,pm_wustl_mean,50,50,385920,130979,385920,5.73706738895174e-08,5.48954824164777e-08,1.13364065954325e-07
epa,pm_wustlg_mean,0.00161862302209324,0.000560375556987341,0.000520286930398049,0.00271695911378843,0.00161993369940583,0.000520422303119661,0.0027206533921782,van Donkelaar global,pm_wustlg_mean,50,50,105120,104344,776,3.1325301137641e-07,7.52699502414903e-10,3.14020764868873e-07
full,pm_wustlg_mean,0.000607558973228943,0.000282270067551935,5.43096408271495e-05,0.00116080830563074,0.0006077435745655,5.43111156223741e-05,0.00116148230436108,van Donkelaar global,pm_wustlg_mean,50,50,549900,130979,418921,7.02869424865137e-08,9.20534171496121e-09,7.96763910357742e-08
no_epa,pm_wustlg_mean,-0.00010956463138183,0.000315752233921164,-0.000728439009867311,0.000509309747103651,-0.000109558629396767,-0.000728173762581164,0.000509439467334616,van Donkelaar global,pm_wustlg_mean,50,50,385920,130979,385920,5.16473432250646e-08,4.71099313736673e-08,9.96994732262053e-08
