sample,term,est,se,ci_l,ci_u,exp_est,exp_ci_l,exp_ci_u,label
full,pm_epa,0.00148371038426101,0.000528514902288925,0.000447821175774715,0.0025195995927473,0.00148481162708758,0.000447921462647161,0.00252277645137822,EPA
full,pm_di_mean,0.000497293167041766,0.000811555319114305,-0.00109335525842227,0.0020879415925058,0.000497416837788034,-0.00109275776333972,0.00209012286040844,Di
full,pm_wei_mean,0.00298662041196186,0.00109044923134761,0.000849339918520555,0.00512390090540317,0.00299108480608168,0.000849700709806722,0.00513705053518754,Wei
full,pm_wustl_mean,-0.000542906302769285,0.000667086104501111,-0.00185039506759146,0.000764582462052893,-0.000542758955808909,-0.00184868414209716,0.000764874829731754,van Donkelaar NA
full,pm_wustlg_mean,0.00015753967267534,0.000633225972876851,-0.00108358323416329,0.00139866257951397,0.000157552082701296,-0.00108299636984188,0.00139964116420299,van Donkelaar global
full,pm_dr_spcv_mean,0.00349394551553107,0.00138810268496959,0.000773264252990677,0.00621462677807146,0.00350005645819129,0.000773563298868574,0.00623397763641909,Dickinson
epa,pm_epa,0.00162428867084915,0.00056592365206552,0.000515078312800733,0.00273349902889757,0.00162560854221283,0.00051521098841345,0.0027372384438209,EPA
epa,pm_di_mean,0.00081534305037716,0.000974018410108953,-0.00109373303343639,0.00272441913419071,0.000815675532878313,-0.00109313512546594,0.00272813373661207,Di
epa,pm_wei_mean,0.00327266654078732,0.00115934864573268,0.00100034319515126,0.00554498988642338,0.00327802756061235,0.0010008437052853,0.00556039179749801,Wei
epa,pm_wustl_mean,1.52589992467049e-05,0.000858328477909507,-0.00166706481745593,0.00169758281594934,1.5259115665911e-05,-0.00166567603673951,0.00169902452534942,van Donkelaar NA
epa,pm_wustlg_mean,0.000347624296293977,0.000875547171958581,-0.00136844816074484,0.00206369675333279,0.000347684724621544,-0.00136751226251863,0.002065827641061,van Donkelaar global
epa,pm_dr_spcv_mean,0.0039958039030204,0.00150548564385692,0.00104505204106084,0.00694655576497996,0.00400379777119975,0.0010455982982176,0.00697073904788859,Dickinson
no_epa,pm_di_mean,-0.00195434551073548,0.001023886666539,-0.00396116337715192,5.24723556809665e-05,-0.00195243702103298,-0.00395332831823192,5.24737323790436e-05,Di
no_epa,pm_wei_mean,-0.0010536616617553,0.00131738880951532,-0.00363574372840533,0.00152842040489474,-0.0010531067552183,-0.00362914241482748,0.00152958903467182,Wei
no_epa,pm_wustl_mean,-0.00244935797535299,0.00103836801651731,-0.00448455928772693,-0.000414156662979056,-0.00244636074570281,-0.00447451866658544,-0.000414070911946784,van Donkelaar NA
no_epa,pm_wustlg_mean,-0.000852635694435057,0.000848257736648305,-0.00251522085826573,0.00080994946939562,-0.000852272303908608,-0.00251206034063811,0.000810277567041995,van Donkelaar global
no_epa,pm_dr_spcv_mean,-0.00140534367091493,0.00130540142150654,-0.00396393045706774,0.00115324311523788,-0.00140435663792593,-0.00395608445515905,0.00115390835578277,Dickinson
